Designator,Footprint,Quantity,Value,LCSC Part #
"ANT1_2, ANT1",Texas_SWRA117D_2.4GHz_Left,2,~,N/A
"BT1_2, BT1",CONN-TH_530480210,2,Battery,C173752
BT2,CONN-TH_S2B-PH-K-S-LF-SN,1,Battery,C173752 
"C1_3, C1_2, C7_3, C7_2",0402,4,1u,C14445
"C1, C2",0402,2,18p,C5137554
"C10_3, C10_2, C12_3, C12_2, C9_3, C9_2",0402,6,4.7u,C307423
C10,0402,1,100n,
"C11_3, C11_2",0402,2,100p,C5137573
"C11, C4, C5, C8",0402,4,1u,C14445 
"C12, C6",0402,2,4.7u,C307423 
"C13_3, C13_2, C19_3, C19_2",0402,4,10u,C15525
"C13, C14",0402,2,2.2u,C12530
"C14_3, C14_2, C18_3, C18_2, C2_3, C2_2, C6_3, C6_2",0402,8,100n,C60474
"C15_3, C15_2, C16_3, C16_2",0402,4,8p,C5448809
C15,0402,1,10u,C15525 
"C16, C17",0603,2,22u,C59461
"C17_3, C17_2",0402,2,NC,N/A
"C18, C19, C20, C22, C3, C7, C9",0402,7,100n,C60474 
"C21, C23",0402,2,4.7u,
"C3_3, C3_2, C4_3, C4_2",0402,4,12p,C696888 
"C5_3, C5_2",0402,2,1.2p,C880658 
"C8_3, C8_2",0402,2,1p,C880647 
"D1_5, D1_4",0603,2,RED LED,C389517 
"D1_3, D2",0603,2,BLUE LED,C7371904 
"D1_2, D1",SOL320P540X170-4N,2,2758,
"D2_3, D2_2",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,2,USBLC6-2SC6_C2687116,C2687116
D3,SideStuckLED,1,BLUE LED,C7371904 
"D4_3, D4_2",0603,2,BLUE LED,C7371904
D4,SideStuckLED,1,BLUE RED,C389517
D5,0603,1,LED,
"J1_5, J1_4",CONN-SMD_custom1,2,Screw_Terminal_01x01,C2765059
"J1_3, J1_2",CONN-SMD_2059-302,2,Screw_Terminal_01x02,
J1,TYPE-C-SMD_C9900025773,1,USB_C_Receptacle,C5156605
"J2_4, J2_3",CONN-SMD_2059-302,2,Screw_Terminal_01x02,C2765060
"J2_2, J2",CONN-SMD_custom1,2,Screw_Terminal_01x01,
"J3_2, J3",TYPE-C-SMD_C9900025773,2,USB_C_Receptacle,C5156605 
J4,HDR-TH_10P-P1.27-V-M-R2-C5-S1.27-1,1,Conn_01x10_Socket,C2935953
"L1_3, L1_2",0402,2,4.7n,C13595
L1,IND-SMD_L5.2-W5.2_YSPI0530,1,4.7u,C2836880
"L2_2, L2",0402,2,2.2n,C395061 
"P1, P2",USB-C-SMD_TYPE-C-24P-GTJB-040,2,USB_C_Plug,C2763095
"R1_3, R1_2, R2_3, R2_2",0402,4,2k,C60488
"R1, R2",0402,2,10k,
"R10_3, R10_2, R11_3, R11_2, R4, R5",0402,6,5k1,C103086
"R10, R11",0805,2,0R,
"R12_3, R12_2, R12, R13",0402,4,220,C112291
"R13_3, R13_2",0402,2,100k,C60491
"R14_3, R14_2",0402,2,33k,C138003
R14,0402,1,1.78k,C5121514
"R15, R16, R17",0402,3,1.18k,C3016052
"R18, R3",0402,2,10k,C60490 
R19,0402,1,100k,C60491 
R20,0402,1,732,C137939
R21,0402,1,2k,C3016052
"R22, R23",0402,2,1k,C60488 
"R3_3, R3_2",0402,2,100,C106233
"R4_3, R4_2",0402,2,4k99,C137965
"R5_3, R5_2, R6_3, R6_2, R7_3, R7_2, R8_3, R8_2",0201,8,NF,N/A
"R6, R7, R8",0402,3,100,C3015757 
"R9_3, R9_2",0402,2,470,C114949 
R9,0402,1,12k,C137923
"SW1_2, SW1",SW-TH_TK-6580B-1,2,TK-6580B-1,C2689829
"SW2_2, SW2",KEY-SMD_L3.0-W2.5-LS4.0,2,SW_DIP_x01,C2905194
"TP10_3, TP10_2, TP11_3, TP11_2, TP9_2, TP9",TestPoint_Pad_D1.0mm,6,TestPoint,N/A
"TP10, TP11, TP12, TP13, TP14, TP16, TP17, TP3, TP4, TP6, TP7, TP8",TestPoint_Pad_D1.0mm,12,TestPoint,
"TP16_3, TP16_2",TestPoint_Pad_D2.0mm,2,TestPoint,N/A
"U1_3, U1_2",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,2,MCP73831T-2ACI/OT,C424093
U1,HVQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,USB2422T-I/MJ,C622610
"U2_3, U2_2",WDFN-6_L2.0-W2.0-P0.65-BL-EP,2,XB6096I2SV,C2998744
U2,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,1,TPS61023DRLR,C919459
"U3_3, U3_2",QFN-40_L5.0-W5.0-P0.40-TL-EP3.6,2,NRF52833-QDAA-R7,C3007767
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,N/A
U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24073RGT,C15220 
"U5, U6",SOT-23-6_Handsoldering,2,SIP32509DT-T1-GE3,C335619
"Y1_3, Y1_2",CRYSTAL-SMD_4P-L2.0-W1.6-BL,2,XL7EL89CKI-111YLC-32M ,C2965582
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322524MOB4SI,C70590 
"Y2_2, Y2",CRYSTAL-SMD_L1.6-W1.0,2, X161032768KLD2SI,C383846
