Designator,Mid X,Mid Y,Rotation,Layer
BT1_2,176.394977,-87.202884,180.0,top
BT1,113.588616,-86.868366,180.0,bottom
BT2,145.62,-72.4325,180.0,bottom
C1_3,173.642477,-105.955384,0.0,bottom
C1_2,116.341116,-105.620866,0.0,top
C1,159.316943,-77.337557,0.0,top
C10_3,171.344977,-96.415384,270.0,bottom
C10_2,118.638616,-96.080866,270.0,top
C10,153.886943,-84.580057,90.0,top
C11_3,179.674977,-101.742884,270.0,bottom
C11_2,110.308616,-101.408366,270.0,top
C11,152.006943,-85.495057,90.0,top
C12_3,171.424977,-99.645384,90.0,bottom
C12_2,118.558616,-99.310866,90.0,top
C12,133.008731,-93.566345,0.0,top
C13_3,162.874977,-111.710384,270.0,bottom
C13_2,127.108616,-111.375866,270.0,top
C13,140.506443,-72.993557,0.0,top
C14_3,175.124977,-110.575384,90.0,bottom
C14_2,114.858616,-110.240866,90.0,top
C14,143.326443,-74.273557,0.0,top
C15_3,169.674977,-105.185384,90.0,bottom
C15_2,120.308616,-104.850866,90.0,top
C15,131.646443,-81.941057,270.0,top
C16_3,170.604977,-105.185384,90.0,bottom
C16_2,119.378616,-104.850866,90.0,top
C16,131.158943,-73.493557,0.0,top
C17_3,173.642477,-105.025384,180.0,bottom
C17_2,116.341116,-104.690866,180.0,top
C17,131.158943,-74.963557,0.0,top
C18_3,173.347477,-112.645384,180.0,bottom
C18_2,116.636116,-112.310866,180.0,top
C18,122.416443,-66.633557,180.0,top
C19_3,167.634977,-111.202884,270.0,bottom
C19_2,122.348616,-110.868366,270.0,top
C19,168.696443,-59.753557,0.0,top
C2_3,171.634977,-105.185384,90.0,bottom
C2_2,118.348616,-104.850866,90.0,top
C2,159.149443,-82.357557,0.0,top
C20,140.826443,-66.413557,270.0,top
C21,134.866443,-66.4475,270.0,top
C22,148.798943,-70.783557,0.0,top
C23,148.348943,-76.693557,0.0,top
C3_3,179.647477,-103.865384,180.0,bottom
C3_2,110.336116,-103.530866,180.0,top
C3,157.2925,-74.05,180.0,top
C4_3,179.637477,-108.255384,0.0,bottom
C4_2,110.346116,-107.920866,0.0,top
C4,151.096943,-78.380057,270.0,top
C5_3,181.234977,-98.475384,180.0,bottom
C5_2,108.748616,-98.140866,180.0,top
C5,129.631231,-90.546345,270.0,top
C6_3,177.657477,-95.295384,180.0,bottom
C6_2,112.326116,-94.960866,180.0,top
C6,135.051231,-91.968845,90.0,top
C7_3,173.642477,-104.095384,180.0,bottom
C7_2,116.341116,-103.760866,180.0,top
C7,155.766943,-83.51,90.0,top
C8_3,179.644977,-98.085384,90.0,bottom
C8_2,110.338616,-97.750866,90.0,top
C8,150.489443,-79.957557,0.0,top
C9_3,172.284977,-95.675384,270.0,bottom
C9_2,117.698616,-95.340866,270.0,top
C9,157.68,-76.0375,270.0,top
D1_5,172.219977,-113.065384,0.0,top
D1_4,117.763616,-112.730866,0.0,bottom
D1_3,143.131443,-66.883557,180.0,top
D1_2,106.285,-63.345,90.0,bottom
D1,185.705,-63.45,90.0,bottom
D2_3,171.984977,-90.435384,0.0,bottom
D2_2,117.998616,-90.100866,0.0,top
D2,148.641443,-68.343557,180.0,top
D3,157.27615,-101.202449,200.0,top
D4_3,172.219977,-110.855384,0.0,top
D4_2,117.763616,-110.520866,0.0,bottom
D4,133.876736,-101.192449,160.0,top
D5,140.351443,-86.543557,180.0,top
J1_5,171.814977,-80.385384,90.0,bottom
J1_4,118.168616,-80.050866,90.0,top
J1_3,106.37,-65.355,0.0,top
J1_2,185.79,-65.46,0.0,top
J1,145.531443,-97.611057,0.0,top
